               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.051606,            0.011352,           0.0053882,             0.43044,             0.48258,             0.46816,              0.1722,            0.071513,            0.006985,              0.0147,           0.0082675,           0.0082675,           0.0082675
                  37,            0.047684,             0.01402,           0.0050112,              0.2403,             0.44258,             0.43567,             0.15604,             0.07551,           0.0070561,            0.015273,            0.008218,            0.008218,            0.008218
                  38,             0.05066,            0.011449,           0.0042578,             0.37557,             0.45249,             0.42606,             0.22046,            0.074144,           0.0066655,            0.015977,           0.0081685,           0.0081685,           0.0081685
                  39,             0.04835,            0.011762,           0.0037869,             0.30886,             0.48258,             0.35259,             0.20706,            0.072719,           0.0069076,            0.014526,            0.008119,            0.008119,            0.008119
                  40,            0.049477,            0.011943,           0.0037782,             0.44091,             0.46324,             0.42052,             0.21741,            0.068416,           0.0070951,            0.014881,           0.0080695,           0.0080695,           0.0080695
                  41,            0.044193,            0.011933,           0.0038611,             0.28538,             0.51553,             0.42367,             0.21392,            0.071778,           0.0071246,            0.014751,             0.00802,             0.00802,             0.00802
                  42,            0.047998,            0.011823,           0.0048139,             0.23795,             0.53039,             0.37196,             0.21382,            0.067736,           0.0074023,            0.015293,           0.0079705,           0.0079705,           0.0079705
                  43,            0.044062,           0.0090692,           0.0044688,              0.2436,             0.48258,             0.34825,             0.17176,            0.069156,           0.0072719,            0.016725,            0.007921,            0.007921,            0.007921
                  44,            0.048731,            0.011257,           0.0044321,             0.30408,             0.48258,             0.34592,             0.18957,            0.065843,           0.0074883,            0.017259,           0.0078715,           0.0078715,           0.0078715
                  45,            0.042141,            0.010713,           0.0043706,             0.32475,             0.50402,             0.36936,             0.20649,            0.068731,           0.0071955,            0.017394,            0.007822,            0.007822,            0.007822
                  46,            0.046726,            0.010683,           0.0043613,             0.42011,             0.49593,             0.38662,              0.1714,            0.067128,            0.007018,            0.016854,           0.0077725,           0.0077725,           0.0077725
                  47,            0.042233,            0.010506,           0.0044901,             0.35266,             0.50985,             0.37924,             0.18647,            0.066135,            0.007029,            0.017323,            0.007723,            0.007723,            0.007723
